GKZ,Name,Wahlberechtigte,abgegeben,gueltig,ungueltig,spoe,oevp,fpoe,gruene,neos,kpoe,cpoe,pilz,schnell,gilt
G10501,Deutsch Kaltenbrunn,1483,1130,1092,38,483,221,202,62,99,5,2,8,4,4
G10502,Eltendorf,812,644,623,21,204,183,132,43,40,4,1,3,12,1
G10503,Heiligenkreuz im Lafnitztal,1038,824,798,26,279,257,141,48,59,2,2,4,4,2
G10504,Jennersdorf,3506,2722,2635,87,635,891,578,216,243,15,5,23,18,10
G10505,Minihof-Liebau,953,763,749,14,322,188,128,32,65,2,2,3,5,2
G10506,Mogersdorf,940,734,705,29,333,160,89,64,43,3,2,3,3,5
G10507,Neuhaus am Klausenbach,829,653,628,25,167,228,116,15,66,6,3,9,12,5
G10508,Rudersdorf,1780,1426,1377,49,459,428,228,86,136,1,2,17,11,9
G10509,Sankt Martin an der Raab,1752,1381,1342,39,480,442,167,90,109,8,4,16,15,10
G10510,Weichselbaum,639,490,473,17,172,177,65,21,29,0,1,3,2,3
G10511,Königsdorf,618,483,471,12,163,145,101,27,27,1,1,2,2,2
G10512,Mühlgraben,367,292,278,14,141,52,51,11,19,0,1,1,1,1
G10601,Draßburg,891,731,717,14,489,82,87,23,23,1,1,8,2,1
G10602,Forchtenstein,2300,1886,1857,29,737,492,393,75,91,6,19,13,22,9
G10603,Hirm,756,642,628,14,395,90,71,31,24,2,0,5,8,2
G10604,Loipersbach im Burgenland,1008,847,819,28,385,135,219,31,26,3,1,8,6,5
G10605,Marz,1613,1359,1323,36,528,457,192,55,56,4,3,9,13,6
G10606,Mattersburg,5260,4078,3954,124,1558,947,707,311,264,11,16,50,60,29
G10607,Neudörfl,3155,2492,2445,47,1068,335,590,130,185,15,24,34,34,24
G10608,Pöttelsdorf,570,466,451,15,165,149,73,23,25,2,1,10,3,0
G10609,Pöttsching,2272,1807,1768,39,785,342,324,106,92,17,3,35,54,10
G10610,Rohrbach bei Mattersburg,2187,1840,1785,55,830,474,268,82,77,6,2,12,24,8
G10611,Bad Sauerbrunn,1552,1208,1184,24,384,204,237,111,75,9,2,30,116,15
G10612,Schattendorf,2016,1728,1672,56,1025,248,239,76,58,3,1,10,11,1
G10613,Sieggraben,1066,887,868,19,339,287,153,19,43,2,2,10,8,5
G10614,Sigleß,924,786,771,15,381,145,92,78,48,1,0,10,10,6
G10615,Wiesen,2321,1878,1836,42,467,599,459,82,110,9,6,13,75,16
G10616,Antau,596,524,502,22,174,180,83,19,32,0,2,8,3,1
G10617,Baumgarten,709,581,572,9,333,106,51,39,22,1,2,10,4,1
G10618,Zemendorf-Stöttera,999,827,805,22,322,301,100,22,32,5,2,6,8,4
G10619,Krensdorf,493,427,415,12,163,146,55,12,26,3,0,4,6,0
G10701,Andau,2105,1798,1757,41,886,408,286,54,85,7,3,9,10,8
G10702,Apetlon,1593,1359,1313,46,501,480,184,34,69,2,15,12,9,6
G10703,Bruckneudorf,2185,1628,1590,38,674,195,368,140,125,17,2,39,19,9
G10704,Deutsch Jahrndorf,482,395,383,12,143,109,105,11,6,1,1,3,0,4
G10705,Frauenkirchen,2356,1941,1884,57,937,446,267,85,113,9,3,7,6,9
G10706,Gattendorf,949,766,745,21,303,205,156,35,32,3,1,5,1,4
G10707,Gols,2925,2333,2239,94,898,505,478,127,148,7,12,34,13,16
G10708,Halbturn,1624,1347,1318,29,447,465,220,70,82,5,1,10,9,9
G10709,Illmitz,2090,1793,1735,58,734,581,247,60,77,4,6,13,9,4
G10710,Jois,1129,909,890,19,346,250,155,51,47,6,7,14,12,2
G10711,Kittsee,1523,1221,1187,34,555,315,168,47,74,4,3,9,8,4
G10712,Mönchhof,1889,1542,1510,32,544,503,259,58,98,2,16,13,8,9
G10713,Neusiedl am See,5009,3830,3733,97,1059,1160,614,470,262,9,25,85,24,24
G10714,Nickelsdorf,1281,1026,994,32,408,200,213,113,34,6,1,3,11,5
G10715,Pama,842,724,710,14,320,277,80,12,11,1,3,4,0,1
G10716,Pamhagen,1445,1211,1188,23,524,433,143,27,44,2,5,5,3,1
G10717,Parndorf,2914,2150,2118,32,1023,312,488,120,113,9,10,17,13,11
G10718,Podersdorf am See,1730,1446,1408,38,361,657,196,71,79,6,7,14,8,9
G10719,Sankt Andrä am Zicksee,1169,1037,1014,23,387,385,114,31,51,2,20,13,8,1
G10720,Tadten,1093,963,949,14,409,380,90,34,22,0,3,6,1,3
G10721,Wallern im Burgenland,1592,1365,1322,43,634,388,160,47,44,7,9,6,18,7
G10722,Weiden am See,1763,1424,1399,25,418,431,292,98,112,1,8,22,11,6
G10723,Winden am See,1014,841,818,23,470,138,112,47,31,4,1,6,6,3
G10724,Zurndorf,1683,1351,1327,24,610,214,336,63,60,1,6,21,7,8
G10725,Neudorf,580,479,467,12,178,169,69,17,24,0,4,1,1,4
G10726,Potzneusiedl,422,348,341,7,144,68,96,9,18,0,0,3,1,2
G10727,Edelstal,504,439,434,5,168,169,62,12,12,0,4,4,3,0
G10801,Deutschkreutz,2643,2171,2118,53,816,582,215,73,46,4,3,13,354,11
G10802,Draßmarkt,1150,986,964,22,347,401,104,51,41,3,0,9,4,4
G10803,Frankenau-Unterpullendorf,1015,836,814,22,317,324,78,44,24,2,1,7,13,4
G10804,Großwarasdorf,1269,1048,1022,26,379,426,100,72,23,3,1,9,7,2
G10805,Horitschon,1549,1319,1277,42,540,413,137,53,63,5,24,6,27,9
G10806,Kaisersdorf,468,370,365,5,226,54,44,17,12,1,0,2,2,7
G10807,Kobersdorf,1586,1329,1292,37,683,277,169,44,47,7,1,9,41,13
G10808,Lackenbach,916,770,750,20,349,212,103,28,32,6,0,4,9,6
G10809,Lockenhaus,1653,1332,1293,39,478,411,219,75,55,3,3,18,16,14
G10810,Lutzmannsburg,721,614,595,19,170,218,126,29,29,1,2,4,12,3
G10811,Mannersdorf an der Rabnitz,1507,1235,1198,37,523,352,196,44,42,4,5,14,11,7
G10812,Markt Sankt Martin,991,804,770,34,337,222,102,32,43,2,4,3,14,8
G10813,Neckenmarkt,1394,1236,1203,33,459,499,106,44,41,1,17,3,27,4
G10814,Neutal,865,767,743,24,474,115,100,18,17,5,1,6,5,2
G10815,Nikitsch,1253,1025,1007,18,425,434,74,40,15,3,2,3,8,3
G10816,Oberpullendorf,2387,1873,1834,39,588,576,324,172,85,6,9,26,31,17
G10817,Pilgersdorf,1400,1156,1131,25,323,549,140,41,34,5,6,8,20,5
G10818,Piringsdorf,737,654,629,25,263,188,95,33,23,5,5,6,8,3
G10819,Raiding,724,590,580,10,306,173,53,12,19,0,2,3,10,2
G10820,Ritzing,734,598,583,15,307,110,84,26,31,3,2,2,15,2
G10821,Steinberg-Dörfl,1050,885,861,24,323,265,141,52,32,4,6,10,16,11
G10822,Stoob,1144,970,957,13,481,219,135,29,48,1,3,9,9,22
G10823,Weppersdorf,1455,1245,1207,38,727,171,185,38,41,3,4,8,22,8
G10824,Lackendorf,505,416,406,10,215,109,49,10,16,0,3,1,2,1
G10825,Unterfrauenhaid,554,483,475,8,198,166,57,14,24,1,1,1,9,4
G10826,Unterrabnitz-Schwendgraben,538,488,479,9,164,223,57,7,14,2,3,1,7,1
G10827,Weingraben,308,264,259,5,122,85,26,10,5,3,2,0,5,1
G10828,Oberloisdorf,662,581,572,9,263,181,78,15,14,2,3,4,8,3
G10901,Bad Tatzmannsdorf,1059,861,840,21,266,257,205,50,37,3,5,4,9,4
G10902,Bernstein,1929,1514,1483,31,694,368,287,44,55,1,2,14,12,6
G10903,Deutsch Schützen-Eisenberg,980,838,816,22,190,399,145,24,38,3,1,10,3,1
G10904,Grafenschachen,1033,870,833,37,430,207,104,17,58,1,3,4,5,4
G10905,Großpetersdorf,2945,2225,2166,59,1000,548,328,125,110,5,6,14,18,9
G10906,Hannersdorf,662,570,558,12,258,204,61,21,10,0,0,1,3,0
G10907,Kemeten,1275,982,958,24,427,155,234,47,70,1,3,6,4,11
G10908,Kohfidisch,1239,991,965,26,378,342,154,21,43,5,1,2,10,8
G10909,Litzelsdorf,959,769,750,19,288,176,174,41,45,7,3,7,6,3
G10910,Loipersdorf-Kitzladen,1011,846,833,13,374,257,124,19,53,0,2,1,1,1
G10911,Mariasdorf,1017,808,789,19,336,192,192,30,26,1,2,2,5,3
G10912,Markt Allhau,1510,1229,1197,32,409,365,199,86,96,4,4,12,15,6
G10913,Markt Neuhodis,586,480,470,10,237,128,71,10,13,2,0,3,6,0
G10914,Mischendorf,1485,1186,1154,32,554,335,174,35,43,1,3,2,5,2
G10915,Oberdorf im Burgenland,865,751,736,15,335,159,152,21,49,2,6,3,7,2
G10916,Oberschützen,1867,1520,1472,48,414,497,286,127,112,4,5,12,9,5
G10917,Oberwart,5519,4178,4070,108,1568,1008,797,286,269,11,15,60,30,25
G10918,Pinkafeld,4250,3237,3165,72,1295,829,518,218,178,18,35,36,21,17
G10919,Rechnitz,2552,1952,1897,55,845,437,396,45,132,6,0,15,15,5
G10920,Riedlingsdorf,1313,1068,1032,36,606,130,184,47,45,4,2,5,8,0
G10921,Rotenturm an der Pinka,1148,938,907,31,416,236,141,36,52,3,3,4,9,7
G10922,Schachendorf,605,525,510,15,201,212,48,16,24,1,2,1,4,0
G10923,Stadtschlaining,1746,1392,1343,49,560,341,274,46,79,4,6,16,9,8
G10924,Unterkohlstätten,880,751,741,10,303,278,101,13,29,2,1,6,5,3
G10925,Unterwart,735,565,554,11,191,213,94,21,19,0,2,6,5,2
G10926,Weiden bei Rechnitz,734,624,615,9,219,255,77,32,19,7,0,3,1,1
G10927,Wiesfleck,936,771,740,31,272,262,136,28,32,0,3,2,2,3
G10928,Wolfau,1113,944,920,24,338,276,179,55,58,2,0,3,5,3
G10929,Neustift an der Lafnitz,561,495,483,12,276,78,67,12,43,2,0,2,0,3
G10930,Jabing,625,532,517,15,225,134,92,19,36,2,0,2,4,2
G10931,Badersdorf,268,238,231,7,71,104,45,2,8,1,0,0,0,0
G10932,Schandorf,259,228,224,4,104,82,25,5,5,0,1,2,0,0
G20101,Klagenfurt,73010,50037,48922,1115,11786,6844,3721,5777,18263,375,258,828,549,380
G20201,Villach,45009,31938,31319,619,9860,3382,2535,2412,11686,223,205,375,310,265
G20302,Dellach,1077,803,787,16,203,218,71,25,245,4,1,4,8,6
G20305,Hermagor-Pressegger See,5864,4372,4245,127,1363,777,340,202,1376,19,36,60,51,20
G20306,Kirchbach,2237,1697,1661,36,345,417,128,59,665,5,8,14,17,2
G20307,Kötschach-Mauthen,2842,2129,2053,76,525,511,178,98,644,7,18,19,34,16
G20316,St Stefan im Gailtal,1377,1071,1044,27,425,180,65,25,309,4,4,9,14,8
G20320,Gitschtal,1046,830,802,28,230,144,78,44,282,3,5,8,4,3
G20321,Lesachtal,1207,907,884,23,138,469,28,24,204,2,2,3,10,2
G20402,Ebenthal in Kärnten,6136,4535,4409,126,1394,329,358,264,1868,38,12,55,33,45
G20403,Feistritz im Rosental,2102,1603,1558,45,585,176,84,130,489,17,6,45,16,9
G20405,Ferlach,5966,4425,4297,128,1490,414,298,261,1656,14,10,84,31,31
G20409,Grafenstein,2239,1661,1622,39,371,332,89,54,719,18,8,8,7,14
G20412,Keutschach am See,1974,1458,1430,28,371,179,87,132,577,5,11,32,22,9
G20414,Köttmannsdorf,2334,1756,1707,49,434,287,96,137,649,10,1,54,22,16
G20415,Krumpendorf am Wörther See,2609,1868,1823,45,315,381,121,241,662,12,6,30,30,20
G20416,Ludmannsdorf,1496,1149,1132,17,361,157,59,84,384,7,3,72,3,2
G20417,Maria Rain,1808,1368,1340,28,242,251,112,131,533,11,4,26,14,13
G20418,Maria Saal,3268,2404,2359,45,534,419,171,247,891,18,8,25,27,14
G20419,Maria Wörth,1169,779,759,20,145,151,51,81,287,5,6,14,8,10
G20421,Moosburg,3604,2550,2493,57,633,364,192,191,981,18,28,25,34,20
G20424,Pörtschach am Wörther See,2109,1482,1451,31,238,289,119,125,624,9,6,18,12,10
G20425,Poggersdorf,2418,1866,1802,64,533,216,138,67,791,4,9,16,14,8
G20428,St Margareten im Rosental,926,712,700,12,212,117,40,26,274,3,3,14,4,6
G20432,Schiefling am See,1947,1379,1340,39,341,180,83,93,578,7,7,32,8,7
G20435,Techelsberg am Wörther See,1726,1242,1222,20,338,177,86,77,509,6,4,9,5,8
G20441,Zell,541,420,411,9,179,45,3,28,38,6,2,104,3,1
G20442,Magdalensberg,2595,1992,1945,47,536,272,150,112,772,18,3,26,21,15
G20501,Althofen,3847,2860,2792,68,899,331,256,122,1106,17,5,18,21,12
G20502,Brückl,2443,1798,1757,41,585,201,121,55,744,2,8,16,13,8
G20503,Deutsch-Griffen,827,584,572,12,130,83,56,6,289,0,2,1,0,5
G20504,Eberstein,1196,879,856,23,185,157,78,22,393,4,1,3,4,8
G20505,Friesach,4360,3204,3127,77,851,442,310,135,1292,11,13,21,33,14
G20506,Glödnitz,781,598,588,10,176,101,53,17,236,2,0,1,2,0
G20508,Gurk,1076,842,826,16,210,159,95,18,338,1,0,1,3,1
G20509,Guttaring,1248,979,947,32,268,152,78,53,359,4,1,7,16,9
G20511,Hüttenberg,1411,1063,1046,17,392,105,75,10,445,5,2,4,2,4
G20512,Kappel am Krappfeld,1625,1243,1204,39,316,262,88,40,463,7,5,14,5,2
G20513,Klein St Paul,1661,1271,1245,26,322,239,90,33,525,3,4,10,8,10
G20515,Liebenfels,2642,2008,1960,48,581,259,217,111,726,9,4,11,26,9
G20518,Metnitz,1860,1363,1341,22,270,324,145,37,523,6,9,6,14,6
G20519,Micheldorf,921,626,614,12,210,85,68,18,200,7,4,6,5,10
G20520,Mölbling,1066,832,811,21,164,83,104,34,414,0,1,1,3,7
G20523,St Georgen am Längsee,2950,2209,2168,41,663,256,194,128,824,10,14,22,31,23
G20527,St Veit an der Glan,10335,7352,7169,183,2432,794,667,458,2615,30,28,60,46,34
G20530,Straßburg,1788,1345,1318,27,301,288,144,37,515,11,5,6,4,7
G20531,Weitensfeld im Gurktal,1901,1436,1407,29,326,316,112,35,603,3,7,1,1,3
G20534,Frauenstein,2926,2158,2122,36,533,284,368,161,715,7,0,25,14,12
G20601,Bad Kleinkirchheim,1441,1051,1040,11,220,166,98,53,477,2,4,10,6,3
G20602,Baldramsdorf,1545,1174,1149,25,414,132,88,18,462,8,3,6,13,5
G20603,Berg im Drautal,1122,833,813,20,195,222,50,48,259,1,5,4,18,9
G20604,Dellach im Drautal,1443,1055,1034,21,316,208,51,46,385,1,4,6,12,5
G20605,Großkirchheim,1211,877,857,20,110,164,66,38,445,1,9,1,16,6
G20607,Flattach,1038,746,731,15,211,80,40,13,379,0,1,3,3,1
G20608,Gmünd in Kärnten,2160,1595,1556,39,411,225,106,64,687,2,9,18,18,13
G20609,Greifenburg,1474,1140,1124,16,217,227,95,52,497,1,7,6,15,6
G20610,Heiligenblut,918,634,622,12,75,167,56,25,268,2,3,6,17,2
G20611,Irschen,1660,1292,1262,30,376,299,59,47,441,1,2,7,12,15
G20613,Kleblach-Lind,1035,807,794,13,249,161,44,29,288,5,2,1,9,6
G20616,Lendorf,1424,1095,1073,22,267,238,70,51,406,2,15,4,10,7
G20618,Mallnitz,743,553,535,18,187,64,20,37,214,2,2,5,3,1
G20619,Malta,1670,1194,1174,20,360,152,61,35,525,2,3,17,7,12
G20620,Millstatt,2755,1977,1939,38,349,403,201,139,750,13,16,31,26,9
G20622,Mörtschach,692,486,475,11,54,158,23,17,208,0,1,0,12,2
G20624,Mühldorf,773,587,570,17,160,52,40,15,283,4,3,4,9,0
G20625,Oberdrauburg,1039,790,777,13,198,197,47,26,293,0,2,1,7,5
G20627,Obervellach,1957,1436,1406,30,293,248,87,50,678,1,15,12,13,5
G20630,Radenthein,5337,3797,3696,101,1061,360,288,167,1671,27,28,32,27,31
G20631,Rangersdorf,1428,948,935,13,223,161,50,22,457,2,6,3,5,6
G20632,Rennweg am Katschberg,1559,1192,1169,23,267,300,78,31,456,1,8,7,14,6
G20633,Sachsenburg,1092,772,763,9,188,90,80,33,356,2,0,4,6,4
G20634,Seeboden,4941,3581,3499,82,694,583,346,203,1512,11,28,61,33,22
G20635,Spittal an der Drau,12292,8895,8671,224,2860,1073,653,458,3257,46,53,122,94,49
G20636,Stall,1421,999,981,18,220,188,60,14,469,1,8,2,8,11
G20637,Steinfeld,1814,1289,1266,23,415,159,220,43,397,4,3,10,8,5
G20638,Trebesing,1023,724,704,20,187,157,29,16,293,3,5,4,7,3
G20639,Weißensee,653,492,483,9,74,174,27,27,158,3,0,13,5,1
G20640,Winklern,986,708,677,31,169,88,48,25,331,2,3,2,5,3
G20642,Krems in Kärnten,1635,1123,1101,22,246,223,85,24,491,4,8,2,11,6
G20643,Lurnfeld,2158,1601,1575,26,413,208,93,95,692,7,11,17,26,12
G20644,Reißeck,1995,1491,1458,33,467,196,115,59,570,5,9,12,13,12
G20701,Afritz am See,1197,907,899,8,243,85,63,38,445,1,8,4,6,4
G20702,Arnoldstein,5296,3996,3892,104,1483,323,299,140,1514,26,15,31,25,33
G20703,Arriach,1225,877,863,14,194,124,73,20,424,3,2,8,6,7
G20705,Bad Bleiberg,2144,1606,1579,27,673,90,85,69,624,11,5,7,4,11
G20707,Feistritz an der Gail,545,436,431,5,123,142,25,14,113,0,3,4,4,0
G20708,Feld am See,964,731,705,26,156,73,56,39,354,4,4,4,9,6
G20710,Ferndorf,1941,1491,1452,39,544,109,102,57,591,13,4,11,13,6
G20711,Finkenstein am Faaker See,6686,5027,4923,104,1505,584,366,337,1883,34,11,105,50,44
G20712,Fresach,1091,829,807,22,215,88,55,36,377,2,9,8,11,4
G20713,Hohenthurn,685,531,522,9,146,103,26,23,193,3,2,10,14,2
G20719,Nötsch im Gailtal,1921,1476,1452,24,537,162,128,73,506,8,4,8,14,10
G20720,Paternion,4850,3618,3522,96,1105,441,283,171,1366,14,27,37,34,42
G20721,Rosegg,1506,1092,1069,23,299,146,86,78,389,11,4,34,9,10
G20722,St Jakob im Rosental,3609,2710,2653,57,1090,192,141,182,883,20,8,93,22,20
G20723,Stockenboi,1378,1064,1036,28,327,150,97,27,402,5,8,1,13,6
G20724,Treffen am Ossiacher See,3618,2498,2443,55,630,318,239,180,964,14,8,34,29,23
G20725,Velden am Wörther See,7026,4868,4748,120,1277,650,309,335,1949,18,44,72,55,35
G20726,Weißenstein,2586,1962,1926,36,739,160,127,93,729,8,12,18,17,17
G20727,Wernberg,4216,3051,2988,63,918,287,233,163,1264,13,29,28,33,16
G20801,Bleiburg,3157,2365,2306,59,623,331,79,120,922,20,7,185,11,5
G20802,Diex,705,570,554,16,153,150,29,22,181,0,3,11,4,1
G20803,Eberndorf,4843,3608,3544,64,1152,434,165,162,1471,11,6,99,20,19
G20804,Eisenkappel-Vellach,2061,1633,1589,44,741,186,45,81,406,14,2,97,6,9
G20805,Feistritz ob Bleiburg,1672,1308,1277,31,355,119,67,113,454,9,3,135,12,5
G20806,Gallizien,1450,1124,1099,25,340,136,73,46,425,9,12,50,2,6
G20807,Globasnitz,1344,1029,994,35,307,101,47,124,313,9,2,83,6,2
G20808,Griffen,2915,2173,2094,79,482,483,149,66,854,10,6,13,18,10
G20810,Neuhaus,952,716,701,15,191,117,27,28,303,3,6,21,3,2
G20812,Ruden,1249,933,911,22,278,152,64,28,356,2,3,10,8,5
G20813,St Kanzian am Klopeiner See,3468,2571,2500,71,622,382,152,174,977,18,5,133,24,7
G20815,Sittersdorf,1749,1358,1323,35,474,148,55,80,456,6,4,82,9,7
G20817,Völkermarkt,9095,6767,6581,186,1976,983,394,390,2620,26,34,57,54,31
G20901,Bad St Leonhard im Lavanttal,3797,2918,2862,56,887,504,181,94,1148,6,10,7,16,6
G20905,Frantschach-St Gertraud,2254,1689,1656,33,496,312,129,38,649,5,3,4,5,13
G20909,Lavamünd,2697,2055,2032,23,756,259,99,39,833,10,4,6,11,12
G20911,Preitenegg,901,733,723,10,171,245,45,16,232,0,6,1,5,2
G20912,Reichenfels,1619,1267,1233,34,355,254,54,47,494,4,4,7,8,6
G20913,St Andrä,8571,6375,6214,161,1938,661,518,138,2800,15,19,26,38,55
G20914,St Georgen im Lavanttal,1644,1263,1229,34,420,142,89,28,526,3,0,4,7,9
G20918,St Paul im Lavanttal,2894,2203,2140,63,564,299,139,69,1029,8,5,10,8,6
G20923,Wolfsberg,20584,15380,15035,345,4491,1832,1244,707,6321,55,72,102,97,95
G21001,Albeck,884,631,614,17,127,140,73,5,256,0,0,6,3,4
G21002,Feldkirchen in Kärnten,11455,8068,7915,153,2112,959,695,443,3407,26,66,67,67,56
G21003,Glanegg,1607,1154,1131,23,407,154,79,37,410,5,11,10,8,10
G21004,Gnesau,912,681,661,20,148,113,41,24,308,3,3,8,6,5
G21005,Himmelberg,1940,1462,1431,31,310,228,141,36,657,7,15,9,11,15
G21006,Ossiach,617,437,422,15,68,96,24,17,205,1,1,4,3,3
G21007,Reichenau,1622,1174,1148,26,335,135,87,27,526,2,4,7,16,6
G21008,St Urban,1174,804,786,18,244,96,57,26,339,1,5,6,7,4
G21009,Steindorf am Ossiacher See,2976,2189,2136,53,568,242,225,97,888,14,15,33,30,21
G21010,Steuerberg,1408,987,969,18,236,141,77,29,466,1,3,4,7,5
G30101,Krems an der Donau,18700,13614,13302,312,4346,3658,2398,1258,808,209,58,264,201,102
G30201,St Pölten,39274,29028,28443,585,11359,6031,5444,2543,1649,241,104,543,297,232
G30301,Waidhofen an der Ybbs,9246,7244,7033,211,1798,2547,1030,562,599,31,115,113,193,45
G30401,Wiener Neustadt,30245,21458,21023,435,8153,3729,4737,1740,1490,206,99,507,208,154
G30501,Allhartsberg,1590,1334,1294,40,277,564,198,89,101,6,9,7,30,13
G30502,Amstetten,17981,13152,12828,324,4563,3056,2726,981,899,68,79,182,179,95
G30503,Ardagger,2606,2129,2045,84,341,862,452,139,147,15,16,8,40,25
G30504,Aschbach-Markt,2781,2162,2091,71,393,910,389,124,187,10,13,23,26,16
G30506,Behamberg,2588,2163,2106,57,520,751,383,163,200,8,19,20,33,9
G30507,Biberbach,1683,1325,1280,45,246,613,186,62,108,11,12,6,31,5
G30508,Ennsdorf,2039,1543,1519,24,716,231,276,118,120,8,4,13,18,15
G30509,Ernsthofen,1714,1413,1365,48,460,410,254,92,98,1,10,20,9,11
G30510,Ertl,989,791,771,20,94,432,106,17,95,4,2,4,9,8
G30511,Euratsfeld,1948,1695,1642,53,199,901,248,119,98,7,10,12,35,13
G30512,Ferschnitz,1312,1043,1015,28,150,507,207,67,51,4,3,4,16,6
G30514,Haag,4347,3343,3265,78,852,1259,427,316,225,16,20,51,64,35
G30515,Haidershofen,2847,2390,2319,71,693,789,366,183,199,13,7,19,27,23
G30516,Hollenstein an der Ybbs,1454,1130,1105,25,394,429,123,42,70,1,15,13,12,6
G30517,Kematen an der Ybbs,1989,1597,1555,42,668,365,303,72,94,10,4,10,15,14
G30520,Neuhofen an der Ybbs,2112,1729,1659,70,200,790,303,106,171,10,11,20,32,16
G30521,Neustadtl an der Donau,1726,1454,1408,46,284,688,258,46,85,3,2,6,21,15
